City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
80,Lufilufi,WS,-13.8745,-171.5986,80.38,71,38,14.61,scattered clouds
81,Lacombe,CA,52.4668,-113.7353,51.33,51,5,14.97,clear sky
82,Saskylakh,RU,71.9167,114.0833,-12.33,100,74,4.56,broken clouds
83,Faanui,PF,-16.4833,-151.75,76.44,88,100,12.1,light rain
84,Bandarbeyla,SO,9.4942,50.8122,78.62,78,27,8.43,scattered clouds
85,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,87,75,8.05,broken clouds
86,Aklavik,CA,68.2191,-135.0107,21.92,92,96,2.21,overcast clouds
87,Royal Tunbridge Wells,GB,51.1325,0.2633,57.42,95,100,12.33,overcast clouds
88,Garowe,SO,8.4054,48.4845,75.76,72,42,14.88,scattered clouds
89,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
90,Bassano,CA,50.7834,-112.4685,54.95,37,2,13.62,clear sky
91,Altamira,BR,-3.2033,-52.2064,88.65,53,83,4.88,broken clouds
92,Husavik,IS,66.0449,-17.3389,38.57,98,100,13.31,overcast clouds
93,Palmer,US,42.1584,-72.3287,59.61,48,40,5.99,scattered clouds
94,Lyuban,BY,52.7985,28.0048,35.17,75,91,5.12,overcast clouds
95,Victoria,HK,22.2855,114.1577,69.33,75,71,1.99,broken clouds
96,Bredasdorp,ZA,-34.5322,20.0403,52.29,75,0,5.23,clear sky
97,Torbay,CA,47.6666,-52.7314,57.67,90,100,5.01,very heavy rain
98,Cidreira,BR,-30.1811,-50.2056,67.14,54,0,10.94,clear sky
99,Nantucket,US,41.2835,-70.0995,58.08,57,1,13.8,clear sky
100,Pinega,RU,64.7001,43.3936,25.2,89,20,7.99,few clouds
101,Valparaiso,CL,-33.0393,-71.6273,85.64,32,0,19.57,clear sky
102,Juruti,BR,-2.1522,-56.0922,90.61,53,61,2.64,broken clouds
103,Manikganj,BD,23.8553,90.0125,82.38,71,1,3.31,clear sky
104,Luau,AO,-10.7073,22.2247,65.64,92,100,4.03,overcast clouds
105,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,75,4.61,broken clouds
106,Port Hedland,AU,-20.3167,118.5667,69.85,60,78,4.61,broken clouds
107,Forssa,FI,60.8146,23.6215,45.48,97,100,8.23,overcast clouds
108,Kirakira,SB,-10.4544,161.9205,81.16,80,52,7.61,broken clouds
109,Saint George,US,37.1041,-113.5841,70.63,36,1,1.01,clear sky
110,Hermanus,ZA,-34.4187,19.2345,59.9,70,0,9.93,clear sky
111,Puerto Ayora,EC,-0.7393,-90.3518,78.76,85,100,10.78,overcast clouds
112,Provideniya,RU,64.3833,-173.3,24.91,58,0,8.95,clear sky
113,Severnyy,RU,50.677,36.5532,41.04,70,0,8.95,clear sky
114,Kapaa,US,22.0752,-159.319,80.92,75,75,4.0,broken clouds
115,Saldanha,ZA,-33.0117,17.9442,59.45,75,0,18.1,clear sky
116,Albany,US,42.6001,-73.9662,57.81,62,99,1.99,overcast clouds
117,Ashqelon,IL,31.6693,34.5715,71.82,64,0,5.5,clear sky
118,Bako,ET,5.7833,36.5667,70.03,50,95,4.56,overcast clouds
